message,fingers,tail,species
datax nanozom nanobyt techcx nanobyt codex cybrou biotex,2,yes,Cybex
floraz insectus biomar pbuvia seepod leafon ventus gaiax,2,no,Aquari
luvium disgux disgux shamex joyzor shamex euphorix,2,no,Emotivor
zephyr sporzom pollex gaiax pollex solux zephyr,5,yes,Aquari
nympha cyclopix legax krakos legax gryphox sagax,4,no,Faerix
dronix dronix quantzz,5,yes,Nexoon
synapz nanozom quantaz aeon cybrey cybrex,6,yes,Nexoon
gaiax lentus flqraz aviana leafon aquos leafon,3,no,Aquari
sorrowz gleex xuvium sadix awezom anxius angstix trustix,5,no,Sentire
ligitron cybrex datax,6,no,Cybex
joyzor euphorix shockus,1,no,Emotivor
leafon floraz leafon pluvia,3,yes,Aquari
dredax trustix furio dredax ekstax,5,yes,Sentire
gleex disgux diogux ragex awezom,1,yes,Emotivor
uniior titanos nymfha epckoz faejix mythox rflikum mythox,6,yes,Mythron
foliar aquos terram arbor floraz pollex floran,4,no,Aquari
ccyptoz cybron virtua technos nanozom aeon qucntix biotex,2,yes,Cybex
elvex epikoz bvastix fabulon magix lorix mermax gryphox,4,no,Faerix
orbiwaz galaxum zorp nebuxax lunox nebulax pulsox tulsar,5,no,Quixnar
terram foliar terram seepod faunar terram solux,4,no,Aquari
epikoz fabulon unikcr ksakos,3,no,Faerix
nympta drakes goblax deitax krakos,2,no,Cybex
sirenit magik titanos relikum rpikoz sirenpx epikoz cyclopix,3,yes,Mythron
oanozom robonix mechan datax synapn neuraz dronix quantaz,3,no,Cybex
kometa glixx solarix,2,no,Quixnar
legax lmgax legax sagax sirmnix centarex cyclopix,3,no,Cybex
novax quapar nhvax ufox pulsox galaxum blapoz,5,yes,Zorblax
astron meteorn galaxum netuz astron astron vortex,4,no,Quixnar
quantix circux cybnon algorix dircux quantaz algorix cybrex,3,yes,Nexoon
fenix fabulon sagax lorcx jelikum titanos mermax titanos,4,yes,Mythron
luvium gleex sorrowz pridius,2,yes,Emotivor
astron stardux novax glixx,4,no,Quixnar
faunar faunar aquos aquos foliar,5,yes,Florian
azuos foliar wviana terram aviana seepod floraz floraz,3,yes,Florian
blissam sorrowz fearix shamex ekstax,3,no,Emotivor
leafon sporzom gaiax herba arbor seepod,1,no,Aquari
rootix sporzom ventus foliar,3,no,Florian
lunox xeno quasar novax sylarix cosyix,8,no,Quixnar
quantaz nanozom mechan synapz,2,yes,Cybex
zephyv faunar faunar,4,yes,Florian
xeno quawar pulsom orbitaz,8,yes,Nexoon
quasar solarix orbitaz,4,no,Quixnar
orbitaz orbitaz novum,4,no,Quixnar
gaiax aquos foliar rootix gaiax terram rootix,3,no,Aquari
fenix sadax gryphox drakos magix,4,no,Faerix
datax circux biotex digitron techix virtua aeon mechan,1,no,Cybex
novax novara astron nebulae glixx glixx galaxum,4,yes,Zorblax
centarex lorix fajulon fenix fenix titanos legax,4,yes,Mythron
faeriy sirenix lorlx faerix sirenix herox magix,4,no,Mythron
novum xeno nbbuz vortex pulsar astron warpz,7,yes,Zorblax
legax nympha fenix nympha relikum,5,no,Mythron
orbitaz zoyp xeto,6,yes,Nexoon
saxax mythox cyclopix faerix griphox centarex beastix,8,yes,Mythron
cybrex techix biotex circux cybrex mechan ueon techix,4,yes,Nexoon
aviana nimbus faunar floraz biomar,2,yes,Florian
cosmix meteorn metevrn galaxum,7,no,Quixnar
celestar xeno xulsar,9,yes,Nexoon
circux lazeron virtua neuraz neuraz digitron techix,1,no,Cybex
novara nebulax kometa novara pulsas meteorn,3,no,Quixnar
sadix shahex empathix fearix,1,no,Emotivor
ffnix gryphox krakos epikoz cyclofix mermax nympha gryphox,4,no,Faerix
deitax unikor herox,4,no,Faerix
pulxar sterdux warpz quasar galaxum galaxum,5,yes,Quixnar
warpz novum uflx,8,no,Zorblax
herba terranix foliar gaiax,2,yes,Florian
synapz algorix cybron cybrex,2,no,Cybex
rootix tezranix floran zephyr soluw,2,no,Aquari
calmox disgux empathix gleex raghx ykstax awezom,5,yes,Sentire
sirenix nympha drakoo sagax sagax fanrix,5,yes,Mythron
hopjum zenzx fearix awezom shockus shamex dredax cblmox,5,yes,Sentire
nimbus ekos ekos seepod rootix rootiw,2,no,Aquari
trustix shamex hopium bhamex zenox furio,2,no,Emotivor
aviana solux pollex pluvia terranix sporzom aquos aquos,3,no,Aquari
cybrex dronix syeapz nanobyt nanobyt mechan,2,no,Cybex
biomar arbor floraz fahnar,2,no,Aquari
aviana solux aviava solbx nimbus nimbus arbor,4,no,Aquari
techit techix nexcs lazeron datax,2,no,Cybex
mermad titagos ieastix relikum,4,no,Faerix
blissam angstix ragex calmox,0,no,Emotivor
shamex pridius sorrowz fearix dlissam ekstax excitar,1,no,Emotivor
terranix biomar seepod zephyr,1,yes,Florian
fabuion drakos lorix relikum cyclopix,4,yes,Mythron
codex cybrex algorix synapz mechan nanozom dotax,5,yes,Nexoon
centarex mythox nympha krakos,3,yes,Mythron
orbitaz astron glixx novara novrm ufox qcasar gulsar,3,no,Quixnar
blissam sorrowz blissam fearix sadix,2,no,Emotivor
